node_size,model_type,dataset_size,n_features,n_outputs,rmse,mape,training_time,model_file,seeding
10,Q_values,50,55,4,0.6278784264327953,0.4627872207047406,0.36492395401000977,xgboost_model_10.pkl,26
10,Circuit,50,5,4,0.7522089229280193,0.39305175957115046,0.2429208755493164,xgboost_model_10_Circuit.pkl,26
12,Q_values,50,78,4,1.0263660195789706,0.6869963666784531,0.3746647834777832,xgboost_model_12.pkl,26
12,Circuit,50,5,4,1.1009812298772095,0.6606638543809271,0.2424633502960205,xgboost_model_12_Circuit.pkl,26
15,Q_values,50,120,4,0.604454108609096,0.18979306644802835,0.4418809413909912,xgboost_model_15.pkl,26
15,Circuit,50,5,4,0.792930798006957,0.22752542944410153,0.24059605598449707,xgboost_model_15_Circuit.pkl,26
20,Q_values,50,210,4,0.6506326612295612,0.2789865681992329,0.6477518081665039,xgboost_model_20.pkl,26
20,Circuit,50,5,4,0.8496471139361096,0.3311910759244611,0.2445964813232422,xgboost_model_20_Circuit.pkl,26
25,Q_values,50,325,4,0.7676917425622519,0.23120455405979384,0.7064332962036133,xgboost_model_25.pkl,26
25,Circuit,50,5,4,0.7014040168199213,0.183287726259327,0.24091100692749023,xgboost_model_25_Circuit.pkl,26
full,Q_values,250,325,4,0.7204421753828092,0.3072049019321983,2.9891841411590576,xgboost_model_full.pkl,26
full,Circuit,250,5,4,0.7517492053462032,0.30023613334591365,0.2995414733886719,xgboost_model_full_Circuit.pkl,26
10,Q_values_full_model,50,325,4,0.2419291165368087,0.023408331992137793,0.0,Models/ml_vs_ml/xgboost/xgboost_model_full.pkl,26
12,Q_values_full_model,50,325,4,0.3387443918532966,0.2591419626514314,0.0,Models/ml_vs_ml/xgboost/xgboost_model_full.pkl,26
15,Q_values_full_model,50,325,4,0.17470342468202102,0.020485040083290856,0.0,Models/ml_vs_ml/xgboost/xgboost_model_full.pkl,26
20,Q_values_full_model,50,325,4,0.39839386968756085,0.09312579805558427,0.0,Models/ml_vs_ml/xgboost/xgboost_model_full.pkl,26
25,Q_values_full_model,50,325,4,0.21880318723294687,0.028078734270836916,0.0,Models/ml_vs_ml/xgboost/xgboost_model_full.pkl,26
