node_size,model_type,dataset_size,n_features,n_outputs,rmse,mape,training_time,model_file,seeding
10,Q_values,50,55,4,0.6062744282218588,0.4267860706465768,0.34423184394836426,xgboost_model_10.pkl,66
10,Circuit,50,5,4,0.7627147922085243,0.40131261740426744,0.23990321159362793,xgboost_model_10_Circuit.pkl,66
12,Q_values,50,78,4,0.9909349685373128,0.669594599620192,0.3849310874938965,xgboost_model_12.pkl,66
12,Circuit,50,5,4,1.103265919219357,0.6643486403527605,0.24664306640625,xgboost_model_12_Circuit.pkl,66
15,Q_values,50,120,4,0.6228234517624821,0.1949822974279094,0.47166895866394043,xgboost_model_15.pkl,66
15,Circuit,50,5,4,0.7941332794597418,0.22851874295906643,0.24598097801208496,xgboost_model_15_Circuit.pkl,66
20,Q_values,50,210,4,0.6785458726906607,0.2875259812845054,0.672616720199585,xgboost_model_20.pkl,66
20,Circuit,50,5,4,0.8485711520783574,0.3289977473575896,0.24233245849609375,xgboost_model_20_Circuit.pkl,66
25,Q_values,50,325,4,0.7314818646894717,0.21850131800564637,0.7755312919616699,xgboost_model_25.pkl,66
25,Circuit,50,5,4,0.7019335324572814,0.1866825184256914,0.24415826797485352,xgboost_model_25_Circuit.pkl,66
full,Q_values,250,325,4,0.7078698659238948,0.30540944044755025,3.335055351257324,xgboost_model_full.pkl,66
full,Circuit,250,5,4,0.7481867821722091,0.2991718603377743,0.3141450881958008,xgboost_model_full_Circuit.pkl,66
10,Q_values_full_model,50,325,4,0.21210563341053174,0.022651208039378565,0.0,Models/ml_vs_ml/xgboost/xgboost_model_full.pkl,66
12,Q_values_full_model,50,325,4,0.3353156367193859,0.2755412153881345,0.0,Models/ml_vs_ml/xgboost/xgboost_model_full.pkl,66
15,Q_values_full_model,50,325,4,0.15621752870497974,0.02005740858677698,0.0,Models/ml_vs_ml/xgboost/xgboost_model_full.pkl,66
20,Q_values_full_model,50,325,4,0.36888038927555306,0.09055675811317278,0.0,Models/ml_vs_ml/xgboost/xgboost_model_full.pkl,66
25,Q_values_full_model,50,325,4,0.18847118524722228,0.026307518830710336,0.0,Models/ml_vs_ml/xgboost/xgboost_model_full.pkl,66
