node_size,model_type,dataset_size,n_features,n_outputs,rmse,mape,training_time,model_file,seeding
10,Q_values,50,55,4,0.61192610070221,0.4249123480092762,0.3251631259918213,xgboost_model_10.pkl,74
10,Circuit,50,5,4,0.7523364762210285,0.39961620146392063,0.2327258586883545,xgboost_model_10_Circuit.pkl,74
12,Q_values,50,78,4,0.9797134660578333,0.6587886364595971,0.3625369071960449,xgboost_model_12.pkl,74
12,Circuit,50,5,4,1.1023408456512318,0.6638414493458049,0.24275755882263184,xgboost_model_12_Circuit.pkl,74
15,Q_values,50,120,4,0.6283293218928014,0.19423302200326925,0.43854284286499023,xgboost_model_15.pkl,74
15,Circuit,50,5,4,0.8018876109152403,0.23139387565004285,0.23812150955200195,xgboost_model_15_Circuit.pkl,74
20,Q_values,50,210,4,0.681704953749413,0.28634532271674834,0.6294410228729248,xgboost_model_20.pkl,74
20,Circuit,50,5,4,0.8449171401595772,0.3291815216801103,0.23927974700927734,xgboost_model_20_Circuit.pkl,74
25,Q_values,50,325,4,0.7624158833564455,0.22614446957195222,0.7071743011474609,xgboost_model_25.pkl,74
25,Circuit,50,5,4,0.6999097293235433,0.1874984723268991,0.2353837490081787,xgboost_model_25_Circuit.pkl,74
full,Q_values,250,325,4,0.7177657235472051,0.3066983232182113,2.949644088745117,xgboost_model_full.pkl,74
full,Circuit,250,5,4,0.7525287032917543,0.29784325849575255,0.30159807205200195,xgboost_model_full_Circuit.pkl,74
10,Q_values_full_model,50,325,4,0.2196682927621166,0.023441566037672352,0.0,Models/ml_vs_ml/xgboost/xgboost_model_full.pkl,74
12,Q_values_full_model,50,325,4,0.3256340192332203,0.27208656986436275,0.0,Models/ml_vs_ml/xgboost/xgboost_model_full.pkl,74
15,Q_values_full_model,50,325,4,0.13737992943568272,0.015624631317417141,0.0,Models/ml_vs_ml/xgboost/xgboost_model_full.pkl,74
20,Q_values_full_model,50,325,4,0.41527495863707753,0.0963221043581724,0.0,Models/ml_vs_ml/xgboost/xgboost_model_full.pkl,74
25,Q_values_full_model,50,325,4,0.20757151068361662,0.02735496931191669,0.0,Models/ml_vs_ml/xgboost/xgboost_model_full.pkl,74
