node_size,model_type,dataset_size,n_features,n_outputs,hidden_layers,activation,solver,test_size,rmse,mape,training_time,converged,n_iterations,model_file,seeding
10,Q_values,50,55,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.5978919195879038,0.25553854088144967,0.0330653190612793,True,4,MLP_model_10.pkl,35
10,Circuit,50,5,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.5474043375834268,0.3873120848400161,0.016466617584228516,True,3,MLP_model_10_Circuit.pkl,35
12,Q_values,50,78,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.7155162266446595,0.577356024160793,0.06007552146911621,True,4,MLP_model_12.pkl,35
12,Circuit,50,5,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.8641370132729148,0.5413639845549952,0.017168760299682617,True,4,MLP_model_12_Circuit.pkl,35
15,Q_values,50,120,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.7066984877420627,0.304615130453877,0.035408973693847656,True,4,MLP_model_15.pkl,35
15,Circuit,50,5,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.533614966772293,0.17232935446511732,0.015709877014160156,True,3,MLP_model_15_Circuit.pkl,35
20,Q_values,50,210,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.6041202292656778,0.2281135558179453,0.08027291297912598,True,4,MLP_model_20.pkl,35
20,Circuit,50,5,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.611891293181731,0.2512963823989511,0.015737533569335938,True,3,MLP_model_20_Circuit.pkl,35
25,Q_values,50,325,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.5387907358866467,0.1775700406326221,0.16765952110290527,True,4,MLP_model_25.pkl,35
25,Circuit,50,5,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.6855150474580307,0.2149348396162212,0.030698537826538086,True,3,MLP_model_25_Circuit.pkl,35
full,Q_values,250,325,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.6169385254017934,0.2391899812077422,0.19133996963500977,True,4,MLP_model_full.pkl,35
full,Circuit,250,5,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.6609878125362662,0.28823368905437624,0.04499077796936035,True,3,MLP_model_full_Circuit.pkl,35
10,Q_values_full_model,50,325,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.6023567880391856,0.26848790200361294,0.0,True,0,Models/ml_vs_ml/mlp/MLP_model_full.pkl,35
12,Q_values_full_model,50,325,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.7098802453106087,0.5695402768426598,0.0,True,0,Models/ml_vs_ml/mlp/MLP_model_full.pkl,35
15,Q_values_full_model,50,325,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.6874606723229896,0.29196795086249794,0.0,True,0,Models/ml_vs_ml/mlp/MLP_model_full.pkl,35
20,Q_values_full_model,50,325,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.5852318127405216,0.22625581048581261,0.0,True,0,Models/ml_vs_ml/mlp/MLP_model_full.pkl,35
25,Q_values_full_model,50,325,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.5320357416387187,0.1853000702330579,0.0,True,0,Models/ml_vs_ml/mlp/MLP_model_full.pkl,35
