node_size,model_type,dataset_size,n_features,n_outputs,rmse,mape,training_time,model_file,seeding
10,Q_values,50,55,4,0.5997873986119618,0.4232903142409577,0.34030890464782715,xgboost_model_10.pkl,73
10,Circuit,50,5,4,0.7641081314645789,0.39645274771852546,0.24692130088806152,xgboost_model_10_Circuit.pkl,73
12,Q_values,50,78,4,1.0030049264084757,0.6676122150399109,0.3662557601928711,xgboost_model_12.pkl,73
12,Circuit,50,5,4,1.1102484584849195,0.6617852540615949,0.2556881904602051,xgboost_model_12_Circuit.pkl,73
15,Q_values,50,120,4,0.5938496536962592,0.17535749261788225,0.44593048095703125,xgboost_model_15.pkl,73
15,Circuit,50,5,4,0.7967703963167643,0.2312641365075542,0.24996018409729004,xgboost_model_15_Circuit.pkl,73
20,Q_values,50,210,4,0.6718223618417387,0.28727676891372744,0.646660327911377,xgboost_model_20.pkl,73
20,Circuit,50,5,4,0.8518400786260608,0.32953282530691136,0.2507920265197754,xgboost_model_20_Circuit.pkl,73
25,Q_values,50,325,4,0.7443154013000517,0.21797369357954047,0.7263367176055908,xgboost_model_25.pkl,73
25,Circuit,50,5,4,0.6911585817684792,0.1863238432009186,0.2453138828277588,xgboost_model_25_Circuit.pkl,73
full,Q_values,250,325,4,0.7234573705460112,0.3083753274304755,2.9439032077789307,xgboost_model_full.pkl,73
full,Circuit,250,5,4,0.7498704962314189,0.29763141007600813,0.3063323497772217,xgboost_model_full_Circuit.pkl,73
10,Q_values_full_model,50,325,4,0.2399905045638652,0.026763368855013965,0.0,Models/ml_vs_ml/xgboost/xgboost_model_full.pkl,73
12,Q_values_full_model,50,325,4,0.3436699288877861,0.2742263868301612,0.0,Models/ml_vs_ml/xgboost/xgboost_model_full.pkl,73
15,Q_values_full_model,50,325,4,0.15150770742339872,0.018803795672753847,0.0,Models/ml_vs_ml/xgboost/xgboost_model_full.pkl,73
20,Q_values_full_model,50,325,4,0.361652220469023,0.08262486022067836,0.0,Models/ml_vs_ml/xgboost/xgboost_model_full.pkl,73
25,Q_values_full_model,50,325,4,0.19597720420627088,0.027969247904331418,0.0,Models/ml_vs_ml/xgboost/xgboost_model_full.pkl,73
