node_size,model_type,dataset_size,n_features,n_outputs,rmse,mape,training_time,model_file,seeding
10,Q_values,50,55,4,0.6165367483631042,0.4285503352401778,0.4115939140319824,xgboost_model_10.pkl,92
10,Circuit,50,5,4,0.7625201715536633,0.40107892597341077,0.2423992156982422,xgboost_model_10_Circuit.pkl,92
12,Q_values,50,78,4,0.9840814597054243,0.664378145071048,0.36443591117858887,xgboost_model_12.pkl,92
12,Circuit,50,5,4,1.1099654073311016,0.6652747008707645,0.24779748916625977,xgboost_model_12_Circuit.pkl,92
15,Q_values,50,120,4,0.6112338956229123,0.19063789499695874,0.445065975189209,xgboost_model_15.pkl,92
15,Circuit,50,5,4,0.7991808131094417,0.23459860575303074,0.24456429481506348,xgboost_model_15_Circuit.pkl,92
20,Q_values,50,210,4,0.6347175154822609,0.26203977674524415,0.6316666603088379,xgboost_model_20.pkl,92
20,Circuit,50,5,4,0.8532329669567528,0.33086811511425607,0.23943638801574707,xgboost_model_20_Circuit.pkl,92
25,Q_values,50,325,4,0.7540070623977522,0.229863153901521,0.6987519264221191,xgboost_model_25.pkl,92
25,Circuit,50,5,4,0.6970076151702939,0.18388840993686342,0.23964428901672363,xgboost_model_25_Circuit.pkl,92
full,Q_values,250,325,4,0.7025979609740739,0.3006800300981904,2.9295570850372314,xgboost_model_full.pkl,92
full,Circuit,250,5,4,0.7503304408537977,0.2993971229092326,0.30158209800720215,xgboost_model_full_Circuit.pkl,92
10,Q_values_full_model,50,325,4,0.22207409969141986,0.0255459756476245,0.0,Models/ml_vs_ml/xgboost/xgboost_model_full.pkl,92
12,Q_values_full_model,50,325,4,0.3577924379381773,0.2684861073139153,0.0,Models/ml_vs_ml/xgboost/xgboost_model_full.pkl,92
15,Q_values_full_model,50,325,4,0.1357880555455643,0.0155912643005732,0.0,Models/ml_vs_ml/xgboost/xgboost_model_full.pkl,92
20,Q_values_full_model,50,325,4,0.400189474432505,0.09147952229727313,0.0,Models/ml_vs_ml/xgboost/xgboost_model_full.pkl,92
25,Q_values_full_model,50,325,4,0.2163612461230676,0.028546143961012297,0.0,Models/ml_vs_ml/xgboost/xgboost_model_full.pkl,92
