node_size,model_type,dataset_size,n_features,n_outputs,hidden_layers,activation,solver,test_size,rmse,mape,training_time,converged,n_iterations,model_file,seeding
10,Q_values,50,55,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.5977367125082258,0.25486311462184197,0.02811264991760254,True,4,MLP_model_10.pkl,86
10,Circuit,50,5,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.549607150413264,0.3837760573904899,0.013659238815307617,True,3,MLP_model_10_Circuit.pkl,86
12,Q_values,50,78,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.7158929553404495,0.5778061418107312,0.04702019691467285,True,4,MLP_model_12.pkl,86
12,Circuit,50,5,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.8640425783681006,0.5414217294913115,0.013389825820922852,True,4,MLP_model_12_Circuit.pkl,86
15,Q_values,50,120,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.7049089979073683,0.30301859998751784,0.02768230438232422,True,4,MLP_model_15.pkl,86
15,Circuit,50,5,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.5211526401429898,0.1774822975784523,0.01308441162109375,True,4,MLP_model_15_Circuit.pkl,86
20,Q_values,50,210,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.6042179646724415,0.2264996748020266,0.06505990028381348,True,4,MLP_model_20.pkl,86
20,Circuit,50,5,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.6115086308974343,0.2527474553834852,0.012742757797241211,True,3,MLP_model_20_Circuit.pkl,86
25,Q_values,50,325,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.53874098749345,0.17863153162016399,0.13005423545837402,True,4,MLP_model_25.pkl,86
25,Circuit,50,5,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.6917677053412641,0.2156363203245964,0.03216266632080078,True,3,MLP_model_25_Circuit.pkl,86
full,Q_values,250,325,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.6167021635967146,0.23984109546782592,0.1692943572998047,True,4,MLP_model_full.pkl,86
full,Circuit,250,5,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.6659547294574509,0.28817459695933667,0.03995037078857422,True,3,MLP_model_full_Circuit.pkl,86
10,Q_values_full_model,50,325,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.6020083997389349,0.2680903026691288,0.0,True,0,Models/ml_vs_ml/mlp/MLP_model_full.pkl,86
12,Q_values_full_model,50,325,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.7091600674879862,0.5709464520865225,0.0,True,0,Models/ml_vs_ml/mlp/MLP_model_full.pkl,86
15,Q_values_full_model,50,325,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.6868134576320984,0.2921503810379258,0.0,True,0,Models/ml_vs_ml/mlp/MLP_model_full.pkl,86
20,Q_values_full_model,50,325,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.586135365259062,0.22843689243952045,0.0,True,0,Models/ml_vs_ml/mlp/MLP_model_full.pkl,86
25,Q_values_full_model,50,325,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.5300088446568162,0.1854327507181115,0.0,True,0,Models/ml_vs_ml/mlp/MLP_model_full.pkl,86
