num_nodes,probability,graph_index,node_1,node_2,weight
10,0.5,0,0,1,0.21395334684289594
10,0.5,0,0,3,0.8089073839338691
10,0.5,0,0,6,0.2529724053217775
10,0.5,0,0,7,0.6194998952476498
10,0.5,0,0,9,0.5233569409272771
10,0.5,0,1,2,0.8669022775789407
10,0.5,0,1,3,0.6507697753939806
10,0.5,0,1,4,0.17247928019609074
10,0.5,0,1,5,0.17062733244149642
10,0.5,0,1,6,0.13980304874618976
10,0.5,0,1,7,0.7563508540805748
10,0.5,0,2,3,0.8911471224943757
10,0.5,0,2,4,0.4768288261980491
10,0.5,0,2,9,0.9725868100565317
10,0.5,0,3,4,0.36367079730845775
10,0.5,0,3,5,0.640613165229002
10,0.5,0,3,6,0.6727404003816018
10,0.5,0,3,7,0.9643986680919252
10,0.5,0,3,8,0.6996676044443801
10,0.5,0,3,9,0.22811255139469988
10,0.5,0,4,5,0.5629535405565811
10,0.5,0,4,6,0.4705044845329608
10,0.5,0,4,9,0.5402163998361893
10,0.5,0,5,6,0.19351267379094675
10,0.5,0,5,8,0.8984219679661475
10,0.5,0,5,9,0.9405528586749563
10,0.5,0,6,7,0.12794302439176242
10,0.5,0,7,8,0.7507634591774796
10,0.5,1,0,2,0.7945127321911121
10,0.5,1,0,4,0.30791858332295685
10,0.5,1,0,8,0.465378513476557
10,0.5,1,1,3,0.474399141373415
10,0.5,1,1,4,0.19000347147206897
10,0.5,1,1,6,0.5455950662721173
10,0.5,1,1,9,0.5612017781941198
10,0.5,1,2,4,0.4600498981544239
10,0.5,1,2,8,0.2829069843685209
10,0.5,1,3,4,0.41932994752882913
10,0.5,1,3,5,0.8328168367722371
10,0.5,1,3,6,0.4176018506799629
10,0.5,1,4,7,0.16904906374631107
10,0.5,1,4,8,0.28830167253282746
10,0.5,1,5,7,0.7112107166054799
10,0.5,1,5,9,0.8025900506993832
10,0.5,1,6,7,0.2065891164308738
10,0.5,1,6,8,0.8997353323170904
10,0.5,1,6,9,0.9886160905130312
10,0.5,1,7,8,0.8793822620278434
10,0.5,1,7,9,0.7362206860452808
10,0.5,1,8,9,0.2539806016030026
10,0.5,2,0,1,0.15111176028347909
10,0.5,2,0,7,0.6979153667930829
10,0.5,2,0,8,0.2679132417707254
10,0.5,2,0,9,0.3194036434472345
10,0.5,2,1,8,0.3897351613259731
10,0.5,2,2,3,0.16111889832110643
10,0.5,2,2,4,0.19457543387733345
10,0.5,2,2,6,0.2417159356957959
10,0.5,2,2,7,0.14182879191684686
10,0.5,2,2,8,0.9690546575486632
10,0.5,2,2,9,0.1846345566304745
10,0.5,2,3,4,0.9946512864927415
10,0.5,2,3,5,0.39509813032087004
10,0.5,2,3,6,0.3439364539305133
10,0.5,2,3,8,0.8622331728754661
10,0.5,2,3,9,0.9607144409538004
10,0.5,2,4,5,0.1889612022424358
10,0.5,2,4,6,0.6576708655825205
10,0.5,2,4,8,0.2976400297038665
10,0.5,2,5,6,0.781440938985974
10,0.5,2,5,7,0.8833814258366586
10,0.5,2,5,8,0.6586618165438108
10,0.5,2,5,9,0.3725368760623944
10,0.5,2,6,7,0.19314453603062678
10,0.5,3,0,1,0.901345296546271
10,0.5,3,0,6,0.8805372583327176
10,0.5,3,0,7,0.9452981929126234
10,0.5,3,0,8,0.905405712195148
10,0.5,3,0,9,0.6132470410746889
10,0.5,3,1,4,0.7189118145839283
10,0.5,3,1,5,0.494288843407388
10,0.5,3,1,7,0.8573322230349384
10,0.5,3,1,9,0.2717242062237383
10,0.5,3,2,4,0.7484439401632418
10,0.5,3,2,5,0.30337727005077275
10,0.5,3,2,6,0.21723578837176594
10,0.5,3,3,5,0.5610927022027495
10,0.5,3,3,9,0.368921642012069
10,0.5,3,4,5,0.47556410557050766
10,0.5,3,4,7,0.40468594641351663
10,0.5,3,4,8,0.2674858205585631
10,0.5,3,4,9,0.7707235537553447
10,0.5,3,5,7,0.6554258787227852
10,0.5,3,5,9,0.391058270441213
10,0.5,3,7,9,0.6615270872650687
10,0.5,3,8,9,0.40684429951011103
10,0.5,4,0,1,0.8376275085002343
10,0.5,4,0,2,0.57545064837389
10,0.5,4,0,3,0.8042966397333274
10,0.5,4,0,5,0.9050638067848589
10,0.5,4,0,7,0.3737133444260343
10,0.5,4,1,4,0.9682309305399885
10,0.5,4,1,6,0.15814502590612678
10,0.5,4,1,8,0.5607605412144754
10,0.5,4,1,9,0.23168362655687016
10,0.5,4,2,5,0.3945109644948218
10,0.5,4,2,7,0.16445889029582728
10,0.5,4,2,8,0.5117929976013115
10,0.5,4,3,4,0.6577046707639796
10,0.5,4,3,6,0.5972381643153266
10,0.5,4,3,7,0.8331484531406258
10,0.5,4,3,9,0.3046429934742701
10,0.5,4,4,5,0.5216497081278388
10,0.5,4,4,6,0.9156751624225975
10,0.5,4,4,7,0.9521045711119012
10,0.5,4,4,8,0.7185597738371
10,0.5,4,4,9,0.31935242511015266
10,0.5,4,5,6,0.7706895333860838
10,0.5,4,5,7,0.45265589028599496
10,0.5,4,5,8,0.9597615578500984
10,0.5,4,5,9,0.25088993981499
10,0.5,4,6,7,0.5178425446262024
10,0.5,4,6,8,0.31915356094635927
10,0.5,4,6,9,0.6033462290069471
10,0.5,4,7,8,0.1326579417581457
10,0.5,4,7,9,0.5229688090734891
10,0.5,5,0,1,0.38535632148248855
10,0.5,5,0,2,0.8203004009983396
10,0.5,5,0,4,0.3636626536310088
10,0.5,5,0,5,0.15968744413073893
10,0.5,5,0,6,0.5501889525176217
10,0.5,5,0,7,0.1623423766691945
10,0.5,5,1,5,0.43209170758416116
10,0.5,5,1,7,0.6481347534223513
10,0.5,5,1,8,0.7642683305315494
10,0.5,5,2,3,0.18711340716740815
10,0.5,5,2,4,0.7576516049121419
