node_size,model_type,dataset_size,n_features,n_outputs,hidden_layers,activation,solver,test_size,rmse,mape,training_time,converged,n_iterations,model_file,seeding
10,Q_values,50,55,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.5979675241491333,0.25567281748103565,0.030118227005004883,True,4,MLP_model_10.pkl,65
10,Circuit,50,5,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.5534211056606072,0.398760391608122,0.016820907592773438,True,4,MLP_model_10_Circuit.pkl,65
12,Q_values,50,78,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.7154898639800396,0.5773831267747623,0.058472633361816406,True,4,MLP_model_12.pkl,65
12,Circuit,50,5,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.8634647748494502,0.5408717300957306,0.016938447952270508,True,4,MLP_model_12_Circuit.pkl,65
15,Q_values,50,120,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.7052068453223025,0.30415221814830984,0.03436899185180664,True,4,MLP_model_15.pkl,65
15,Circuit,50,5,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.521356319067651,0.1773522339951495,0.016695022583007812,True,4,MLP_model_15_Circuit.pkl,65
20,Q_values,50,210,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.6034402910642926,0.22735225080499427,0.07854080200195312,True,4,MLP_model_20.pkl,65
20,Circuit,50,5,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.6115250707358282,0.2600021685813898,0.01702404022216797,True,4,MLP_model_20_Circuit.pkl,65
25,Q_values,50,325,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.5383555053338435,0.1784408180113105,0.17456412315368652,True,4,MLP_model_25.pkl,65
25,Circuit,50,5,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.6746875741065254,0.21906296641786138,0.044756174087524414,True,4,MLP_model_25_Circuit.pkl,65
full,Q_values,250,325,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.6175168644418508,0.23946391693018315,0.18007993698120117,True,4,MLP_model_full.pkl,65
full,Circuit,250,5,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.6549167261353791,0.29731202866709405,0.024923086166381836,True,4,MLP_model_full_Circuit.pkl,65
10,Q_values_full_model,50,325,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.6013493288712835,0.2670194060831981,0.0,True,0,Models/ml_vs_ml/mlp/MLP_model_full.pkl,65
12,Q_values_full_model,50,325,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.7104393032984867,0.568388017473499,0.0,True,0,Models/ml_vs_ml/mlp/MLP_model_full.pkl,65
15,Q_values_full_model,50,325,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.6854136837345761,0.2909625562537571,0.0,True,0,Models/ml_vs_ml/mlp/MLP_model_full.pkl,65
20,Q_values_full_model,50,325,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.5859890471262583,0.22877234691611495,0.0,True,0,Models/ml_vs_ml/mlp/MLP_model_full.pkl,65
25,Q_values_full_model,50,325,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.5333417057743072,0.1870353550790047,0.0,True,0,Models/ml_vs_ml/mlp/MLP_model_full.pkl,65
