node_size,model_type,dataset_size,n_features,n_outputs,rmse,mape,training_time,model_file,seeding
10,Q_values,50,55,4,0.6216340646472102,0.4494214808820192,0.33246946334838867,xgboost_model_10.pkl,28
10,Circuit,50,5,4,0.7615889432703488,0.3998515735442628,0.23922061920166016,xgboost_model_10_Circuit.pkl,28
12,Q_values,50,78,4,1.0161289961558282,0.6803882839226278,0.36168932914733887,xgboost_model_12.pkl,28
12,Circuit,50,5,4,1.1080856035418731,0.6607546388500731,0.2466144561767578,xgboost_model_12_Circuit.pkl,28
15,Q_values,50,120,4,0.628421610704527,0.19493190105063657,0.4457402229309082,xgboost_model_15.pkl,28
15,Circuit,50,5,4,0.8054317800972409,0.2310864973874453,0.2429041862487793,xgboost_model_15_Circuit.pkl,28
20,Q_values,50,210,4,0.6477761593167618,0.2826607487268503,0.6326878070831299,xgboost_model_20.pkl,28
20,Circuit,50,5,4,0.8491998269389898,0.3286066336935515,0.24609613418579102,xgboost_model_20_Circuit.pkl,28
25,Q_values,50,325,4,0.7472590233303916,0.22498162380550135,0.7171854972839355,xgboost_model_25.pkl,28
25,Circuit,50,5,4,0.6986850118896399,0.18673474325143183,0.24938631057739258,xgboost_model_25_Circuit.pkl,28
full,Q_values,250,325,4,0.7189474121577379,0.3056524644508305,3.1574466228485107,xgboost_model_full.pkl,28
full,Circuit,250,5,4,0.7525895008310393,0.30074185549262544,0.28081750869750977,xgboost_model_full_Circuit.pkl,28
10,Q_values_full_model,50,325,4,0.2446833637001061,0.02410146620598138,0.0,Models/ml_vs_ml/xgboost/xgboost_model_full.pkl,28
12,Q_values_full_model,50,325,4,0.34574466300146683,0.277659522123513,0.0,Models/ml_vs_ml/xgboost/xgboost_model_full.pkl,28
15,Q_values_full_model,50,325,4,0.14326275963514906,0.016093402458591203,0.0,Models/ml_vs_ml/xgboost/xgboost_model_full.pkl,28
20,Q_values_full_model,50,325,4,0.4058819154446624,0.0965860974387929,0.0,Models/ml_vs_ml/xgboost/xgboost_model_full.pkl,28
25,Q_values_full_model,50,325,4,0.18373406419196114,0.02403066526807989,0.0,Models/ml_vs_ml/xgboost/xgboost_model_full.pkl,28
