node_size,model_type,dataset_size,n_features,n_outputs,rmse,mape,training_time,model_file,seeding
10,Q_values,50,55,4,0.595385325473316,0.43709438123458166,0.38439321517944336,xgboost_model_10.pkl,35
10,Circuit,50,5,4,0.7624528171679872,0.39528615364957553,0.2393178939819336,xgboost_model_10_Circuit.pkl,35
12,Q_values,50,78,4,1.0143794807656819,0.6879128429815087,0.3590545654296875,xgboost_model_12.pkl,35
12,Circuit,50,5,4,1.0962546213522208,0.6590135441042517,0.24175596237182617,xgboost_model_12_Circuit.pkl,35
15,Q_values,50,120,4,0.6330408267514209,0.19573955319405623,0.44693732261657715,xgboost_model_15.pkl,35
15,Circuit,50,5,4,0.7954563303352001,0.2303435074441465,0.23806405067443848,xgboost_model_15_Circuit.pkl,35
20,Q_values,50,210,4,0.6618796794919176,0.27975535610272306,0.6193423271179199,xgboost_model_20.pkl,35
20,Circuit,50,5,4,0.8502655638495368,0.33095851363088047,0.2413496971130371,xgboost_model_20_Circuit.pkl,35
25,Q_values,50,325,4,0.7423133669339893,0.23063927866400233,0.6915907859802246,xgboost_model_25.pkl,35
25,Circuit,50,5,4,0.7024987942912079,0.18851611872927374,0.2386462688446045,xgboost_model_25_Circuit.pkl,35
full,Q_values,250,325,4,0.7133250540996858,0.3024840713838173,2.944981813430786,xgboost_model_full.pkl,35
full,Circuit,250,5,4,0.7491205898830339,0.2992791534982005,0.30446696281433105,xgboost_model_full_Circuit.pkl,35
10,Q_values_full_model,50,325,4,0.22548928829529533,0.025774105380850287,0.0,Models/ml_vs_ml/xgboost/xgboost_model_full.pkl,35
12,Q_values_full_model,50,325,4,0.3354131379784464,0.2704224790520041,0.0,Models/ml_vs_ml/xgboost/xgboost_model_full.pkl,35
15,Q_values_full_model,50,325,4,0.13283728350765145,0.0167256039001185,0.0,Models/ml_vs_ml/xgboost/xgboost_model_full.pkl,35
20,Q_values_full_model,50,325,4,0.3909467708972906,0.0918567763488799,0.0,Models/ml_vs_ml/xgboost/xgboost_model_full.pkl,35
25,Q_values_full_model,50,325,4,0.19462188513981618,0.02456548951963515,0.0,Models/ml_vs_ml/xgboost/xgboost_model_full.pkl,35
