node_size,model_type,dataset_size,n_features,n_outputs,rmse,mape,training_time,model_file,seeding
10,Q_values,50,55,4,0.5870645544216464,0.41461485783043,0.3801581859588623,xgboost_model_10.pkl,59
10,Circuit,50,5,4,0.77648163685537,0.40423207380443327,0.24106311798095703,xgboost_model_10_Circuit.pkl,59
12,Q_values,50,78,4,0.9854710248725813,0.6625770395381746,0.3587214946746826,xgboost_model_12.pkl,59
12,Circuit,50,5,4,1.1061383604438249,0.6650887614670425,0.25289487838745117,xgboost_model_12_Circuit.pkl,59
15,Q_values,50,120,4,0.6080701153197239,0.19366516248139168,0.44432926177978516,xgboost_model_15.pkl,59
15,Circuit,50,5,4,0.8062256971273403,0.23417235223115643,0.24023079872131348,xgboost_model_15_Circuit.pkl,59
20,Q_values,50,210,4,0.6535516736632921,0.2829528182644762,0.6588826179504395,xgboost_model_20.pkl,59
20,Circuit,50,5,4,0.8522332074450963,0.3296268581663469,0.23995089530944824,xgboost_model_20_Circuit.pkl,59
25,Q_values,50,325,4,0.7391949393180519,0.22497885824248331,0.7050802707672119,xgboost_model_25.pkl,59
25,Circuit,50,5,4,0.7025367980698601,0.19017083992187264,0.23747897148132324,xgboost_model_25_Circuit.pkl,59
full,Q_values,250,325,4,0.7269329362217392,0.3108684088185108,2.9324076175689697,xgboost_model_full.pkl,59
full,Circuit,250,5,4,0.7531077865036672,0.2986627768631669,0.3013925552368164,xgboost_model_full_Circuit.pkl,59
10,Q_values_full_model,50,325,4,0.23728093537103864,0.026256131675604644,0.0,Models/ml_vs_ml/xgboost/xgboost_model_full.pkl,59
12,Q_values_full_model,50,325,4,0.34590164811104446,0.2617383840679601,0.0,Models/ml_vs_ml/xgboost/xgboost_model_full.pkl,59
15,Q_values_full_model,50,325,4,0.14599875997125286,0.01715762913109419,0.0,Models/ml_vs_ml/xgboost/xgboost_model_full.pkl,59
20,Q_values_full_model,50,325,4,0.39384621023750915,0.08474920427543478,0.0,Models/ml_vs_ml/xgboost/xgboost_model_full.pkl,59
25,Q_values_full_model,50,325,4,0.18991994353519848,0.02726094166240515,0.0,Models/ml_vs_ml/xgboost/xgboost_model_full.pkl,59
