node_size,model_type,dataset_size,n_features,n_outputs,rmse,mape,training_time,model_file,seeding
10,Q_values,50,55,4,0.5970494146584223,0.41476739882953156,0.3543715476989746,xgboost_model_10.pkl,33
10,Circuit,50,5,4,0.7682583216398227,0.40122761989975575,0.24929261207580566,xgboost_model_10_Circuit.pkl,33
12,Q_values,50,78,4,1.000863431173249,0.6708685815318698,0.3784162998199463,xgboost_model_12.pkl,33
12,Circuit,50,5,4,1.1013459532063594,0.6600945180848341,0.25926804542541504,xgboost_model_12_Circuit.pkl,33
15,Q_values,50,120,4,0.6111255756145343,0.189418876461169,0.4732639789581299,xgboost_model_15.pkl,33
15,Circuit,50,5,4,0.7968398639969111,0.22759240560132454,0.25472164154052734,xgboost_model_15_Circuit.pkl,33
20,Q_values,50,210,4,0.6349729817364606,0.27634483909599,0.6663002967834473,xgboost_model_20.pkl,33
20,Circuit,50,5,4,0.850381290717068,0.33145031414491105,0.26496076583862305,xgboost_model_20_Circuit.pkl,33
25,Q_values,50,325,4,0.714342248630418,0.20975166252520328,0.7515735626220703,xgboost_model_25.pkl,33
25,Circuit,50,5,4,0.6986011467528658,0.18394824554817735,0.25911545753479004,xgboost_model_25_Circuit.pkl,33
full,Q_values,250,325,4,0.7178126995700194,0.3086045858624884,3.0857222080230713,xgboost_model_full.pkl,33
full,Circuit,250,5,4,0.7537804647552385,0.30015363534549,0.3248472213745117,xgboost_model_full_Circuit.pkl,33
10,Q_values_full_model,50,325,4,0.2318809074663105,0.025476421308947367,0.0,Models/ml_vs_ml/xgboost/xgboost_model_full.pkl,33
12,Q_values_full_model,50,325,4,0.3507905016066531,0.27095589041668344,0.0,Models/ml_vs_ml/xgboost/xgboost_model_full.pkl,33
15,Q_values_full_model,50,325,4,0.15515427839432264,0.01844725044027193,0.0,Models/ml_vs_ml/xgboost/xgboost_model_full.pkl,33
20,Q_values_full_model,50,325,4,0.40293288990371023,0.09925912075607546,0.0,Models/ml_vs_ml/xgboost/xgboost_model_full.pkl,33
25,Q_values_full_model,50,325,4,0.17900196715925878,0.02571460248417126,0.0,Models/ml_vs_ml/xgboost/xgboost_model_full.pkl,33
