node_size,model_type,dataset_size,n_features,n_outputs,rmse,mape,training_time,model_file,seeding
10,Q_values,50,55,4,0.5810384018370021,0.40930885630859576,0.3477363586425781,xgboost_model_10.pkl,94
10,Circuit,50,5,4,0.7643757178261449,0.39693696114647997,0.2469468116760254,xgboost_model_10_Circuit.pkl,94
12,Q_values,50,78,4,1.0017414312907595,0.6705063419827542,0.38088059425354004,xgboost_model_12.pkl,94
12,Circuit,50,5,4,1.1040790467727268,0.6617453907315642,0.25911974906921387,xgboost_model_12_Circuit.pkl,94
15,Q_values,50,120,4,0.6281512673118923,0.19670445843419238,0.4683868885040283,xgboost_model_15.pkl,94
15,Circuit,50,5,4,0.8114715023821876,0.23547560100637693,0.2500183582305908,xgboost_model_15_Circuit.pkl,94
20,Q_values,50,210,4,0.6238691502228302,0.2616416309466826,0.6907870769500732,xgboost_model_20.pkl,94
20,Circuit,50,5,4,0.8520236210742468,0.331027773946195,0.25264739990234375,xgboost_model_20_Circuit.pkl,94
25,Q_values,50,325,4,0.7269271362258819,0.21331323384836995,0.7597877979278564,xgboost_model_25.pkl,94
25,Circuit,50,5,4,0.6979616247590491,0.18817363136275872,0.2467818260192871,xgboost_model_25_Circuit.pkl,94
full,Q_values,250,325,4,0.7098938859240606,0.30507073771340687,3.140669345855713,xgboost_model_full.pkl,94
full,Circuit,250,5,4,0.7491028071744245,0.29955306430827977,0.3155944347381592,xgboost_model_full_Circuit.pkl,94
10,Q_values_full_model,50,325,4,0.22870658090514875,0.02462578460050367,0.0,Models/ml_vs_ml/xgboost/xgboost_model_full.pkl,94
12,Q_values_full_model,50,325,4,0.34215442778543115,0.27719345404100965,0.0,Models/ml_vs_ml/xgboost/xgboost_model_full.pkl,94
15,Q_values_full_model,50,325,4,0.16312123533928397,0.018255983180555393,0.0,Models/ml_vs_ml/xgboost/xgboost_model_full.pkl,94
20,Q_values_full_model,50,325,4,0.3631667705936105,0.07933485909915572,0.0,Models/ml_vs_ml/xgboost/xgboost_model_full.pkl,94
25,Q_values_full_model,50,325,4,0.2150048183238901,0.02689046797007808,0.0,Models/ml_vs_ml/xgboost/xgboost_model_full.pkl,94
