node_size,model_type,dataset_size,n_features,n_outputs,rmse,mape,training_time,model_file,seeding
10,Q_values,50,55,4,0.6361760850919955,0.44975711433556015,0.42079782485961914,xgboost_model_10.pkl,97
10,Circuit,50,5,4,0.7571281700035681,0.40233754559105206,0.331528902053833,xgboost_model_10_Circuit.pkl,97
12,Q_values,50,78,4,0.980288513998429,0.6620495684196452,0.4489002227783203,xgboost_model_12.pkl,97
12,Circuit,50,5,4,1.102904923038798,0.6608341152974311,0.33344340324401855,xgboost_model_12_Circuit.pkl,97
15,Q_values,50,120,4,0.6038527009519772,0.1857507935629627,0.5304605960845947,xgboost_model_15.pkl,97
15,Circuit,50,5,4,0.8073126151798556,0.23725777098366546,0.33644723892211914,xgboost_model_15_Circuit.pkl,97
20,Q_values,50,210,4,0.654697182057693,0.28160184103239905,0.7624433040618896,xgboost_model_20.pkl,97
20,Circuit,50,5,4,0.8492015693056448,0.3301496543887208,0.3340768814086914,xgboost_model_20_Circuit.pkl,97
25,Q_values,50,325,4,0.7299969896938305,0.22534426649686318,0.8554162979125977,xgboost_model_25.pkl,97
25,Circuit,50,5,4,0.6881910705047836,0.1821103950856366,0.33069467544555664,xgboost_model_25_Circuit.pkl,97
full,Q_values,250,325,4,0.7221654723571821,0.3103888469141328,3.528679132461548,xgboost_model_full.pkl,97
full,Circuit,250,5,4,0.7555390171252427,0.3008003250857767,0.40746164321899414,xgboost_model_full_Circuit.pkl,97
10,Q_values_full_model,50,325,4,0.23172434906857814,0.02533682998214499,0.0,Models/ml_vs_ml/xgboost/xgboost_model_full.pkl,97
12,Q_values_full_model,50,325,4,0.37290411399324,0.2866944484220881,0.0,Models/ml_vs_ml/xgboost/xgboost_model_full.pkl,97
15,Q_values_full_model,50,325,4,0.18991061826599356,0.021964569720308545,0.0,Models/ml_vs_ml/xgboost/xgboost_model_full.pkl,97
20,Q_values_full_model,50,325,4,0.37216577771144177,0.09108304062800171,0.0,Models/ml_vs_ml/xgboost/xgboost_model_full.pkl,97
25,Q_values_full_model,50,325,4,0.18474011159985376,0.025901818822174842,0.0,Models/ml_vs_ml/xgboost/xgboost_model_full.pkl,97
