node_size,model_type,dataset_size,n_features,n_outputs,hidden_layers,activation,solver,test_size,rmse,mape,training_time,converged,n_iterations,model_file,seeding
10,Q_values,50,55,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.5975276931817096,0.2554367745904066,0.12034296989440918,True,4,MLP_model_10.pkl,88
10,Circuit,50,5,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.5527853386987748,0.39767212389038065,0.06898093223571777,True,4,MLP_model_10_Circuit.pkl,88
12,Q_values,50,78,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.7159746916584474,0.5753960033213052,0.13367438316345215,True,4,MLP_model_12.pkl,88
12,Circuit,50,5,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.8626878714873453,0.5392186670108865,0.03178095817565918,True,4,MLP_model_12_Circuit.pkl,88
15,Q_values,50,120,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.704825297728633,0.3040022053076623,0.06878876686096191,True,4,MLP_model_15.pkl,88
15,Circuit,50,5,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.5221206941799967,0.17686396885771574,0.10175943374633789,True,4,MLP_model_15_Circuit.pkl,88
20,Q_values,50,210,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.6031960117153744,0.22793551569984355,0.09964776039123535,True,4,MLP_model_20.pkl,88
20,Circuit,50,5,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.6113374621313994,0.25927227553050325,0.09961771965026855,True,4,MLP_model_20_Circuit.pkl,88
25,Q_values,50,325,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.5394704444482544,0.17858637843723257,0.17719316482543945,True,4,MLP_model_25.pkl,88
25,Circuit,50,5,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.6745219179563033,0.21898989700648697,0.032982587814331055,True,4,MLP_model_25_Circuit.pkl,88
full,Q_values,250,325,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.6176931691628809,0.23987177676403526,0.1781013011932373,True,4,MLP_model_full.pkl,88
full,Circuit,250,5,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.6551603787550255,0.29644828589022043,0.019899606704711914,True,4,MLP_model_full_Circuit.pkl,88
10,Q_values_full_model,50,325,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.6019973875667093,0.26816117079906554,0.0,True,0,Models/ml_vs_ml/mlp/MLP_model_full.pkl,88
12,Q_values_full_model,50,325,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.7108814152959693,0.5681846874912952,0.0,True,0,Models/ml_vs_ml/mlp/MLP_model_full.pkl,88
15,Q_values_full_model,50,325,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.6874544753684565,0.2920734973819047,0.0,True,0,Models/ml_vs_ml/mlp/MLP_model_full.pkl,88
20,Q_values_full_model,50,325,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.5855766677744247,0.22715253377434247,0.0,True,0,Models/ml_vs_ml/mlp/MLP_model_full.pkl,88
25,Q_values_full_model,50,325,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.5342673680843869,0.1870532668641481,0.0,True,0,Models/ml_vs_ml/mlp/MLP_model_full.pkl,88
